sentence;label
Data frames may be discarded if attempted on a No Traffic flow.;0
The MirrorLink Server shall inform MirrorLink audio applications about the connection.;1
As an introduction to the SD Bluetooth Type A specification, the SDA has created ‘Simplified’ versions of each of these documents.;0
Data will be stored in-house on Bank of Zambia servers, the platform would be the CAPEX model in nature with minimal ongoing maintenance and service costs.;0
In addition to verify that if an icon is provided by the UICC, the icon indicated in the command may be used by the ME to inform the user, in addition to, or instead of the alpha identifier, as indicated with the icon qualifier.;0
An assembly of hardware and, if applicable, software, which operates together to perform a specific set of functions and that is viewed as a complete and separate entity for purposes of manufacturing, maintenance, record keeping, 1s verification and, frequently, procurement.;0
The receive carrier to the EUT shall be restored within ITmax.;1
A USB host that implements support for USB Type-C Analog Audio Adapter Accessory mode shall also support USB Type-C Digital Audio (TCDA) with nominally equivalent functionality and performance.;1
The radial velocity of the spacecraft is determined by measuring the two?way shift of the Earth?to?Space link carrier frequency, with the aid of a coherent transponder.;1
The square root of the least squares fit variance of the measurements from the curve-fit function shall not exceed 5 percent of the total aging change allowed during the test period.;1
In the L1 measurement definitions, see chapter 5, the measurements are categorised as measurements in the UE or measurements in the NG-RAN.;0
Users of the present document should be aware that the document may be subject to revision or change of status.;0
After the test, the components shal1 perfotm satisfnctori1y nt room ombient temperature while warming up from -54° C (-6S”F) to room ambient.;undecidable
Any protrusion shall be trimmed with a scalpel blade.;1
In practise, this requires identical up-looking and down-looking sensors, e.g. as usually found in radiance balance sensors.;0
A new Data Channel PDU is a Data Channel PDU sent for the first time by the Link Layer.;0
The performance level may be replaced by a permissible performance loss.;0
Test instrumentation shall be installed that produces data that can be correlated to the thermal model over the full range of seasons, equipment duty cycles, ascent conditions, solar angles, maximum and minimum unit thermal dissipations, including effects of bus voltage variations, and eclipse combinations.;1
When the originator of a flight plan is an intermediary (i.e. not the Aircraft Operator or the Aircraft, e.g. the flight plan may be submitted via an ARO) the conditions of acceptance and any changes to these conditions, as notified by the IFPS, have to be made available to the Aircraft Operator, who also has the responsibility of ensuring that the Aircraft has consistent data that reflects the agreement.;1
The impedance starts to deviate noticeably at approximately 1 MHz where the lead inductance is about 13 ohms.;0
This field contains the Controller ID used by the receiver of the AMP Disconnect Physical Link Response packet.;1
The TP shall include the terms and definitions, abbreviated terms, and symbols used.;1
The GOES-R System shall produce a Reflected Shortwave Radiation: TOA/Hemispheric product in accordance with the 1s and qualifiers provided in the product table below.;1
The “products” of OOA and the relationships between them are depicted in Figure 5.2.;0
The TCS design shall account for the heat load stored by the TPS during entry phases.;1
The ground reference for the Hot Plug Detect signal is the DDC/CEC Ground pin.;0
The lids of cement paint shall be kept tightly closed when not in use, as by exposure to atmosphere the cement paint rapidly becomes air set due to its hygroscopic qualities.;1
"Even if the content of BDS 1,0 states that the transponder has the SI capability, if this transponder is detected as using the ""matching"" II code to encode the parity sequence of the replies, it shall be considered as a non SI equipped transponder.";1
TRL 5 by the end of the definition phase (Phase A/B1).;undecidable
The elementary files are coded as USIM Application Toolkit default.;1
1s applicable to the S/C only are flown-down into the SRD.;0
Attributes, derived attributes, common domains, events and processes are quite similar in regards to the conventions followed for them.;0
The distribution of information about the operational status of the systems and services.;0
